Id,Date,Time,Experiment,Source,activation,active,batch_size,bins,dsName,num_filters,num_layers,num_units,projectName,seq,timeSteps,acc,seconds
 e8c2cb6c-aae6-11ea-8d6b-704d7b847aa2 , 10/06/2020 ,09:52:11, e8c52c7e-aae6-11ea-9a7b-704d7b847aa2 , EncoderDecoder.py ,relu,True,300,---,Row99_f=40,---,---,100,EventClass_1,---,60,---,---
 5e332b34-aae7-11ea-a691-704d7b847aa2 , 10/06/2020 ,09:55:28, 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , EncoderDecoder.py ,relu,True,300,---,Row99_f=40,---,---,100,EventClass_1,---,60,1.0,8.70302700996399
 754ea1b6-aae7-11ea-857b-704d7b847aa2 , 10/06/2020 ,09:56:07, 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , EncoderDecoder.py ,softmax,True,898,---,Row99_f=40,---,---,828,EventClass_1,---,30,0.8125288940886904,8.83729338645935
 8cfd10e8-aae7-11ea-9f87-704d7b847aa2 , 10/06/2020 ,09:56:46, 8cfdd580-aae7-11ea-b981-704d7b847aa2 , EncoderDecoder.py ,sigmoid,True,428,---,Row99_f=40,---,---,442,EventClass_1,---,400,0.9311897138882297,7.392647981643677
 decb2598-ab05-11ea-801b-704d7b847aa2 , 10/06/2020 ,13:33:48, decbf36c-ab05-11ea-b70c-704d7b847aa2 , HistXGboost.py ,---,---,---,---,Row99_f=40,---,---,---,---,---,---,---,---
 f87b94e8-ab05-11ea-8038-704d7b847aa2 , 10/06/2020 ,13:34:32, f9b5e8c0-ab05-11ea-a9d0-704d7b847aa2 , HistXGboost.py ,---,---,---,---,Row99_f=40,---,---,---,---,---,---,---,---
 569e98f4-ab06-11ea-8d48-704d7b847aa2 , 10/06/2020 ,13:37:09, 569f3fd2-ab06-11ea-bb9b-704d7b847aa2 , HistXGboost.py ,---,---,---,---,Row99_f=40,---,---,---,---,---,---,---,---
 a6c9adbe-ab06-11ea-9fd4-704d7b847aa2 , 10/06/2020 ,13:39:24, a6ca49e6-ab06-11ea-9d7a-704d7b847aa2 , HistXGboost.py ,---,---,---,10,Row99_f=40,---,---,---,---,---,---,0.7142857142857143,3.620976448059082
 a8f3917e-ab06-11ea-9315-704d7b847aa2 , 10/06/2020 ,13:39:28, a8f455d8-ab06-11ea-bea9-704d7b847aa2 , HistXGboost.py ,---,---,---,20,Row99_f=40,---,---,---,---,---,---,1.0,3.6477150917053223
 ab2162ee-ab06-11ea-b654-704d7b847aa2 , 10/06/2020 ,13:39:31, ab22250a-ab06-11ea-a67f-704d7b847aa2 , HistXGboost.py ,---,---,---,30,Row99_f=40,---,---,---,---,---,---,0.9285714285714286,3.603936195373535
 ad48ad3e-ab06-11ea-9f1e-704d7b847aa2 , 10/06/2020 ,13:39:35, ad49709a-ab06-11ea-86ca-704d7b847aa2 , HistXGboost.py ,---,---,---,50,Row99_f=40,---,---,---,---,---,---,0.8571428571428571,3.623502492904663
