Var : 1.0 , Id : e8c2cb6c-aae6-11ea-8d6b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:52:11 , Experiment : e8c52c7e-aae6-11ea-9a7b-704d7b847aa2 , Source : EncoderDecoder.py , pram_timeSteps : 60
Var : 1.0 , Id : e8c2cb6c-aae6-11ea-8d6b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:52:11 , Experiment : e8c52c7e-aae6-11ea-9a7b-704d7b847aa2 , Source : EncoderDecoder.py , pram_batch_size : 300
Var : 1.0 , Id : e8c2cb6c-aae6-11ea-8d6b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:52:11 , Experiment : e8c52c7e-aae6-11ea-9a7b-704d7b847aa2 , Source : EncoderDecoder.py , pram_num_units : 100
Var : 1.0 , Id : e8c2cb6c-aae6-11ea-8d6b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:52:11 , Experiment : e8c52c7e-aae6-11ea-9a7b-704d7b847aa2 , Source : EncoderDecoder.py , pram_activation : relu
Var : 1.0 , Id : e8c2cb6c-aae6-11ea-8d6b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:52:11 , Experiment : e8c52c7e-aae6-11ea-9a7b-704d7b847aa2 , Source : EncoderDecoder.py , pram_projectName : EventClass_1
Var : 1.0 , Id : e8c2cb6c-aae6-11ea-8d6b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:52:11 , Experiment : e8c52c7e-aae6-11ea-9a7b-704d7b847aa2 , Source : EncoderDecoder.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : e8c2cb6c-aae6-11ea-8d6b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:52:11 , Experiment : e8c52c7e-aae6-11ea-9a7b-704d7b847aa2 , Source : EncoderDecoder.py , pram_active : True
Var : 1.0 , Id : 5e332b34-aae7-11ea-a691-704d7b847aa2 , Date : 10/06/2020 , Time : 09:55:28 , Experiment : 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , Source : EncoderDecoder.py , pram_timeSteps : 60
Var : 1.0 , Id : 5e332b34-aae7-11ea-a691-704d7b847aa2 , Date : 10/06/2020 , Time : 09:55:28 , Experiment : 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , Source : EncoderDecoder.py , pram_batch_size : 300
Var : 1.0 , Id : 5e332b34-aae7-11ea-a691-704d7b847aa2 , Date : 10/06/2020 , Time : 09:55:28 , Experiment : 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , Source : EncoderDecoder.py , pram_num_units : 100
Var : 1.0 , Id : 5e332b34-aae7-11ea-a691-704d7b847aa2 , Date : 10/06/2020 , Time : 09:55:28 , Experiment : 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , Source : EncoderDecoder.py , pram_activation : relu
Var : 1.0 , Id : 5e332b34-aae7-11ea-a691-704d7b847aa2 , Date : 10/06/2020 , Time : 09:55:28 , Experiment : 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , Source : EncoderDecoder.py , pram_projectName : EventClass_1
Var : 1.0 , Id : 5e332b34-aae7-11ea-a691-704d7b847aa2 , Date : 10/06/2020 , Time : 09:55:28 , Experiment : 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , Source : EncoderDecoder.py , pram_dsName : Row99_f=40
Var : 1.0 , Id : 5e332b34-aae7-11ea-a691-704d7b847aa2 , Date : 10/06/2020 , Time : 09:55:28 , Experiment : 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , Source : EncoderDecoder.py , pram_active : True
Var : 1.0 , Id : 5e332b34-aae7-11ea-a691-704d7b847aa2 , Date : 10/06/2020 , Time : 09:55:28 , Experiment : 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , Source : EncoderDecoder.py , metr_seconds : 8.70302700996399
Var : 1.0 , Id : 5e332b34-aae7-11ea-a691-704d7b847aa2 , Date : 10/06/2020 , Time : 09:55:28 , Experiment : 5e332b35-aae7-11ea-a0fd-704d7b847aa2 , Source : EncoderDecoder.py , metr_acc : 1.0
Var : 1.0 , Id : 754ea1b6-aae7-11ea-857b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:07 , Experiment : 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , Source : EncoderDecoder.py , pram_timeSteps : 30
Var : 1.0 , Id : 754ea1b6-aae7-11ea-857b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:07 , Experiment : 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , Source : EncoderDecoder.py , pram_batch_size : 898
Var : 1.0 , Id : 754ea1b6-aae7-11ea-857b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:07 , Experiment : 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , Source : EncoderDecoder.py , pram_num_units : 828
Var : 1.0 , Id : 754ea1b6-aae7-11ea-857b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:07 , Experiment : 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , Source : EncoderDecoder.py , pram_activation : softmax
Var : 1.0 , Id : 754ea1b6-aae7-11ea-857b-704d7b847aa2 , Date : 10/06/2020 , Time : 09:56:07 , Experiment : 754f3dde-aae7-11ea-b2e1-704d7b847aa2 , Source : EncoderDecoder.py , pram_projectName : EventClass_1
